exit_time,col2,net_pts,col4,col5
2023-01-05 09:33:58.155,0.485,1.0,-0.5,10
2023-01-05 09:34:13.046,0.524,1.0,0.0,3
2023-01-05 09:34:17.004,0.579,-4.0,0.0,76
2023-01-05 09:35:44.060,0.627,1.0,0.0,16
2023-01-05 09:36:22.308,0.465,1.0,-1.0,67
2023-01-05 09:38:32.272,0.696,-4.0,0.0,140
2023-01-05 09:47:50.434,0.45,-4.0,0.0,64
2023-01-05 09:53:38.030,0.555,1.0,-0.5,20
2023-01-05 09:54:36.745,0.533,1.0,-0.5,16
2023-01-05 09:55:09.315,0.579,1.0,0.0,1
2023-01-05 09:55:11.002,0.793,-4.0,0.0,267
2023-01-05 10:03:58.034,0.704,1.0,-0.75,54
2023-01-05 10:05:44.009,0.573,1.0,-0.25,7
2023-01-05 10:06:03.350,0.464,1.0,-3.0,310
2023-01-05 10:13:57.152,0.4,-4.0,0.0,25
2023-01-05 10:20:53.593,0.441,-4.0,0.0,64
2023-01-05 10:22:17.473,0.494,1.0,-3.75,296
2023-01-05 10:32:46.623,0.463,1.0,-2.25,200
2023-01-05 10:37:23.300,0.523,-4.0,0.0,209
2023-01-05 10:41:48.226,0.433,1.0,-0.5,9
2023-01-05 10:43:33.016,0.46,1.0,-0.75,25
2023-01-05 10:49:37.187,0.468,-4.0,0.0,199
2023-01-05 10:59:19.707,0.447,1.0,-0.25,13
2023-01-05 10:59:33.228,0.69,1.0,-1.5,108
2023-01-05 11:01:30.012,0.596,1.0,0.0,1
2023-01-05 11:01:45.011,0.435,1.0,-0.5,20
2023-01-05 11:02:09.056,0.598,1.0,-0.25,13
2023-01-05 11:02:25.007,0.532,1.0,0.0,0
2023-01-05 11:02:59.013,0.421,1.0,-1.25,68
2023-01-05 11:04:35.334,0.588,1.0,-1.5,118
2023-01-05 11:10:53.324,0.459,-4.0,0.0,292
2023-01-05 11:15:54.065,0.518,1.0,-0.5,43
2023-01-05 11:17:26.062,0.43,-4.0,0.0,96
2023-01-05 11:19:03.055,0.415,1.0,-3.0,218
2023-01-05 11:30:26.228,0.523,1.0,0.0,6
2023-01-05 11:30:39.187,0.519,1.0,-0.25,6
2023-01-05 11:31:11.340,0.428,1.0,-1.5,64
2023-01-05 11:32:21.042,0.692,1.0,-1.25,120
