Date,Close/Last,Volume,Open,High,Low
10/12/2022,$86.87 ,5261904,$87.00 ,$88.06 ,$86.41 
10/11/2022,$86.21 ,5531265,$86.71 ,$87.20 ,$85.64 
10/10/2022,$87.06 ,5092424,$87.01 ,$87.57 ,$86.13 
10/7/2022,$87.03 ,6606378,$88.54 ,$88.90 ,$86.30 
10/6/2022,$89.35 ,6893765,$90.19 ,$90.90 ,$89.26 
10/5/2022,$90.12 ,7980791,$87.73 ,$90.64 ,$87.55 
10/4/2022,$88.51 ,5982360,$87.09 ,$88.95 ,$86.86 
10/3/2022,$85.62 ,6739878,$84.75 ,$86.22 ,$83.80 
9/30/2022,$84.26 ,7737511,$86.57 ,$86.70 ,$84.15 
9/29/2022,$86.57 ,6881455,$86.81 ,$87.34 ,$85.61 
9/28/2022,$87.11 ,7850820,$84.68 ,$87.48 ,$84.25 
9/27/2022,$84.28 ,8628753,$85.97 ,$86.50 ,$83.17 
9/26/2022,$84.81 ,7583548,$84.31 ,$86.03 ,$84.28 
9/23/2022,$84.17 ,7153192,$83.90 ,$84.44 ,$83.23 
9/22/2022,$84.70 ,9953048,$88.00 ,$88.02 ,$84.38 
9/21/2022,$88.60 ,8806754,$91.29 ,$91.52 ,$88.57 
9/20/2022,$90.79 ,6560039,$91.66 ,$92.02 ,$90.10 
9/19/2022,$92.14 ,6286956,$90.89 ,$92.55 ,$90.83 
9/16/2022,$91.31 ,11987640,$91.15 ,$92.10 ,$90.65 
9/15/2022,$92.22 ,11052400,$92.09 ,$93.15 ,$91.73 
9/14/2022,$92.70 ,24320600,$89.57 ,$93.48 ,$89.51 
9/13/2022,$87.84 ,16033630,$86.72 ,$89.30 ,$86.07 
9/12/2022,$89.07 ,9078938,$89.77 ,$90.38 ,$88.54 
9/9/2022,$88.69 ,7096165,$89.50 ,$89.95 ,$88.64 
9/8/2022,$89.46 ,7721071,$87.30 ,$89.48 ,$87.16 
9/7/2022,$88.31 ,9946770,$85.11 ,$88.62 ,$84.92 
9/6/2022,$84.52 ,11062810,$83.07 ,$84.62 ,$81.67 
9/2/2022,$82.94 ,10336790,$85.47 ,$85.77 ,$82.55 
9/1/2022,$85.40 ,7556805,$83.70 ,$85.47 ,$82.93 
8/31/2022,$84.07 ,6570110,$83.87 ,$84.76 ,$83.65 
8/30/2022,$83.41 ,6812530,$84.18 ,$85.02 ,$82.69 
8/29/2022,$84.12 ,5035514,$83.20 ,$84.66 ,$83.04 
8/26/2022,$84.06 ,6674910,$87.51 ,$87.99 ,$83.96 
8/25/2022,$87.39 ,4236346,$86.35 ,$87.63 ,$86.30 
8/24/2022,$86.05 ,4385983,$84.76 ,$86.48 ,$84.48 
8/23/2022,$84.69 ,4560350,$84.85 ,$85.61 ,$84.58 
8/22/2022,$84.95 ,5915201,$85.38 ,$85.55 ,$84.34 
8/19/2022,$86.92 ,4597726,$87.77 ,$87.97 ,$86.55 
8/18/2022,$88.55 ,3428312,$88.03 ,$88.78 ,$87.68 
8/17/2022,$88.35 ,3831252,$88.40 ,$89.00 ,$87.86 
8/16/2022,$89.40 ,4580845,$88.78 ,$89.93 ,$88.54 
8/15/2022,$89.16 ,5600991,$88.11 ,$89.25 ,$88.01 
8/12/2022,$88.31 ,5153974,$87.31 ,$88.40 ,$87.19 
8/11/2022,$87.27 ,5595696,$86.94 ,$87.55 ,$86.50 
8/10/2022,$86.49 ,5072324,$86.50 ,$86.90 ,$86.09 
8/9/2022,$84.84 ,3498395,$85.74 ,$85.83 ,$84.46 
8/8/2022,$85.72 ,4885102,$86.15 ,$86.86 ,$85.42 
8/5/2022,$85.73 ,4835081,$85.76 ,$86.15 ,$84.92 
8/4/2022,$86.88 ,7086693,$87.21 ,$88.28 ,$86.57 
8/3/2022,$87.27 ,12915670,$86.01 ,$87.97 ,$83.91 
8/2/2022,$83.71 ,7254737,$84.70 ,$85.14 ,$83.62 
8/1/2022,$84.91 ,7313697,$84.19 ,$85.59 ,$84.03 
7/29/2022,$84.78 ,5802700,$84.60 ,$84.98 ,$83.93 
7/28/2022,$84.67 ,5594602,$83.19 ,$84.89 ,$82.82 
7/27/2022,$82.96 ,6372575,$81.23 ,$83.41 ,$81.12 
7/26/2022,$80.31 ,6587009,$81.22 ,$81.42 ,$80.00 
7/25/2022,$81.50 ,5861107,$83.59 ,$83.70 ,$81.04 
7/22/2022,$83.59 ,6283617,$84.16 ,$84.43 ,$82.84 
7/21/2022,$83.54 ,7695295,$82.95 ,$83.61 ,$82.65 
